img1,img2,aruco_yaw_deg,aruco_roll_deg,aruco_pitch_deg,core_yaw_deg,core_roll_deg,core_pitch_deg,rot_err_deg,euler_rms_err_deg,t_dir_err_deg,used_core_inverse
20260121172027.JPG,20260121172118.JPG,-14.458812,9.169243,-43.715632,-11.989192,5.250021,-50.340337,7.151864,4.667120,6.803241,0
20260121172000.JPG,20260121172126.JPG,-2.054399,-0.637784,-10.978271,-1.690531,-0.578177,-7.576909,3.422304,1.975282,2.091302,0
20260121172007.JPG,20260121172027.JPG,4.688304,-1.991387,17.969441,3.348217,0.528454,19.268009,3.462279,1.810314,18.014885,0
20260121171953.JPG,20260121172201.JPG,-7.076031,5.001675,-24.759334,-6.259817,0.472000,-22.542949,4.809057,2.949380,11.502321,0
20260121172007.JPG,20260121172151.JPG,-7.147258,1.843092,-33.485755,-7.024958,1.519570,-33.545296,0.281912,0.202623,0.472089,0
20260121171953.JPG,20260121172226.JPG,-1.228518,1.145107,-5.770673,-0.862290,-0.206033,-4.839292,1.653972,0.970768,2.544353,0
20260121172013.JPG,20260121172146.JPG,-22.740747,15.209603,-59.184504,-20.426937,12.118000,-61.725699,2.986498,2.668919,2.507564,0
20260121152638.JPG,20260121172210.JPG,8.006616,4.693178,34.144931,7.077172,3.237000,30.995988,3.382600,2.073657,1.447726,0
20260121152658.JPG,20260121172017.JPG,4.007874,0.053556,17.726518,3.853754,0.561495,18.347881,0.846358,0.471821,3.430774,0
20260121152631.JPG,20260121172035.JPG,3.203559,-1.012632,12.044808,1.387744,4.063454,12.588962,5.769757,3.128362,43.464337,1
20260121152638.JPG,20260121172022.JPG,20.850602,13.293014,65.315517,23.046277,17.481960,65.525075,2.384018,2.733262,1.972847,0
20260121172035.JPG,20260121172118.JPG,-9.163047,4.297282,-33.063664,-8.781217,3.262160,-37.268969,4.294874,2.510104,3.265906,0
20260121172057.JPG,20260121172126.JPG,-6.373760,4.143830,-25.641667,-4.652207,0.727982,-22.966240,4.116458,2.695037,3.326950,0
20260121152631.JPG,20260121172151.JPG,-5.514043,0.849599,-28.335425,-4.828355,-1.454196,-26.702906,2.642441,1.677573,1.321232,0
20260121172022.JPG,20260121172126.JPG,-11.544444,8.222054,-40.577910,-8.466381,3.611840,-40.921643,3.509660,3.206592,2.773409,0
20260121172022.JPG,20260121172210.JPG,-7.261592,4.401821,-31.321492,-2.265098,-3.598858,-31.037582,6.901762,5.448438,8.409569,0
20260121172035.JPG,20260121172226.JPG,-3.718809,1.041457,-18.748163,-3.326219,0.345175,-17.277454,1.622597,0.966423,0.516737,0
20260121172000.JPG,20260121172110.JPG,3.513667,-2.478947,15.658897,3.084401,0.246718,17.879902,3.636014,2.045025,7.941683,0
20260121152638.JPG,20260121172102.JPG,13.160756,7.213492,50.489877,13.332635,7.983312,50.147363,0.731995,0.496481,0.856026,0
20260121172007.JPG,20260121172102.JPG,-0.107609,-1.406171,-4.658965,-0.558574,-0.060567,-4.816266,1.392305,0.824371,6.125622,0
20260121172013.JPG,20260121172022.JPG,-3.188025,0.260959,-10.041538,-2.492544,-0.718500,-10.544898,1.205381,0.751976,5.531106,0
20260121172110.JPG,20260121172155.JPG,-6.560894,2.392165,-30.844900,-6.273947,1.744097,-28.845244,2.077452,1.224875,1.616074,0
20260121172155.JPG,20260121172210.JPG,2.586306,0.460391,13.891059,2.467129,-0.130726,13.696835,0.606425,0.365762,1.350225,0
20260121172057.JPG,20260121172118.JPG,-5.730474,2.882077,-21.528430,-5.034446,0.877889,-24.352953,3.375002,2.039539,5.159932,0
20260121152644.JPG,20260121172151.JPG,0.394544,3.188229,0.683909,0.189666,1.509724,2.629696,2.573962,1.488337,17.885765,1
